S No,School No.,School Name,Zone,School Type,Products,Revenue,Reasons(mention schools that were in risk but currently retained),
1,158773,St Joseph^s Boys High School,South,Retention,Ei ASSET,"2,41,372",No response from school,
2,525210,Silver Oaks Group,South,Retention,Ei Mindspark/Ei ASSET,"32,00,000",Ei Mindspark is safe. The ASSET is still under high risk,
3,5016606,Silver Oaks Group,South,Retention,Ei Mindspark/Ei ASSET,0,,
4,5018377,Silver Oaks Group,South,Retention,Ei Mindspark/Ei ASSET,0,,
5,20191/5029152,Sishya School,South,Retention,Ei ASSET/Ei CARES/Ei Mindspark,"45,00,000",School is wanting to go vendor free for this year. PArents unable to pay.,
6,2821214,Ramco Vidyalaya,South,Retention,Ei Mindspark,"4,70,000",Financial Reasons. Introducing a book based system.,
7,3150210,APS,South,Retention,Ei CARES,"8,00,000",AWES – running a pilot program.,
8,2559923,Ramco Vidya Mandir,South,Retention,Ei Mindspark,"4,70,000",Internal Issues,
9,2614572,The Ivy Global,North,Retention,CARES,"1,81,000",No teacher by-in.,
10,,DPS Chhindwara,North,1 - Year,CARES,"4,00,000",Issue with product,
11,5017739,Khaitan World School,North,1- year,MINDSPARK,"1,68,020","No issue mentioned, just a mail that the school won't continue. In the sister school Open Door was opted. High chances of the school going ahead with Open Door for the price difference.",
12,3302960,Tula's School,North,New School,ASSET,"1,90,009",No issues shared. CARES and MINDSPARK pitched this year. The school may be finding the dependency on products too overwhelming.,
13,3955038,"Millennium World School, Moradabad",North,1 -year,CARES and Mindspark,500000,The school is not responding. There is a new academic head and she is not interested in the program. The chairperson also isn't.,
14,3285152,Paul George Global School,North,Retention,ASSET,200000,We increased the price to match with sister school (St. George's),
15,3878188,Mind Tree School,North,Retention,ASSET,"3,54,015",No visit throughout the year,
16,547865,The Lawrence School,North,Retention,CARES,"6,22,318","Winter school, PA session not conducted, no response",
17,5055276,"St. Mary Convent School, Mariam Nagar",North,New School,CARES,"3,40,208","The school felt that the CARES level is too high. Although we made the papers very easy (not as per Ei standards), they still found them too difficult and are not ready for it. However, they are exploring Mindspark.",
18,253271,Mount St. Mary's,North,New School,ASSET and CARES,"19,63,865",Pressure from parents,
19,5017199,GD Goenka Public School,East,Retention,CARES,"6,95,965",The management is pressurising the Principal for Acadally.Principalis keen on keeping CARES for a few higher grades,
20,3242514,Erudite Academy,East,Retention,CARES,3.03.067,Exploring other products like Acadally and Nature Nurture,
21,4166956,Delhi World Public School,East,Retention,Mindspark,"3,91,291",Contemplating as students are unable to use it at home. have proposed ASSET +Skillbook,
22,10423,Shri Shikshayatan School,East,Retention,ASSET,"6,03,750",Wants to continue with OD,
23,3989841,Aditya Birla Public School- Rayagada,East,New School,CARES,"9,10,315",For every test there was an error fromour end either report generation or question quality/out of syllabus,
24,5002738,Himali Boarding School,East,New School,CARES,"1,44,190",No response from school,
25,3514450,I D M Public School,East,New School,CARES,"1,08,974",No response from school,
26,27245,Jasudben School,West,1 Year,"Ei ASSET,Ei Mindspark","11,28,451",School was paying from past 2 years. School finds challenge in transferring the payments to students. PTA has not approved pricing to be paid by parents for ASSEt and Mindspark,
27,5017936,The Cathedral & John Connon School - Senior Section,West,1 Year,Ei CARES,"13,06,678",‌ Students don't take seriously and they have many internal assessments. School wants to go on 60% optional model . The school has shared the circular with students on 27th March.Mid April school will be able to give tentative student count.,
28,3167641,"Mount Litera Zee School, Surat",West,1 Year,Ei Mindspark,"8,49,921",Waiting for an appointnment with Principal,
29,2528645,St Kabir Indian International School,West,Retention School,"Ei ASSET,Ei CARES,Ei Mindspark","36,06,546",Owner has conveyed that they want a break from EI for this year.They have no problems with Ei services.They have told to connect in July/August,
30,3425691,St. Kabir School,West,Retention School,"Ei ASSET,Ei CARES,Ei Mindspark","31,04,772",Owner has conveyed that they want a break from EI for this year.They have no problems with Ei services.They have told to connect in July/August,
31,2470921,Zydus School for Excellence - Godhavi,West,Retention School,"Ei ASSET,Ei Mindspark","13,31,844",FRC Issue,
32,96888,J.B. Petit High School - CARES,West,New School,Ei CARES,"1,62,064",Low teacher buying. Want to continue with grade 3 only and not grade 4. One round of meeting is done with KDM.Got the dates for 2 rounds and book collection date,
33,5035523,KMGIS,West,New School,,"1,10,263",Product Value and Infra,
34,5040517,"Army Public School, Dhrangadhra",West,New School,Ei Mindspark,"2,52,013",Was a pilot project,
35,241346,"Army Public School, Ahmedabad",West,New School,Ei Mindspark,"4,34,422",Was a pilot project,
36,3395252,Vedaant Multipurpose School,West,New School,CARES,"1,08,915",No response from school,
37,5000918,"Elpro International School, Chinchwad",West,New School,"Ei ASSET,Ei CARES","12,94,802","The ASSET reports were delivered with some delay, and a few discrepancies were identified in the reports. Aarthi has already shared an email regarding the errors in the reports.",
38,5099788,"Elpro International School, Hinjewadi",West,New School,Ei ASSET,"1,94,721","The ASSET reports were delivered with some delay, and a few discrepancies were identified in the reports. Aarthi has already shared an email regarding the errors in the reports.",
39,5017865,Priyadarshani Pune Police Public School,West,New School,Ei ASSET,0,"AcadAlly has reached out to four schools under the Priyadarshani Group. However, meetings scheduled with the management have repeatedly been cancelled, which is causing delays in further discussions and progress.",
40,5015855,"Priyadarshani School & Jr College, Indrayaninagar",West,New School,Ei ASSET,"8,93,132","AcadAlly has reached out to four schools under the Priyadarshani Group. However, meetings scheduled with the management have repeatedly been cancelled, which is causing delays in further discussions and progress.",
41,4052744,Priyadarshani School and Junior college Moshi,West,New School,Ei ASSET,0,"AcadAlly has reached out to four schools under the Priyadarshani Group. However, meetings scheduled with the management have repeatedly been cancelled, which is causing delays in further discussions and progress.",
42,5015866,"Priyadarshani School, Bhosari",West,New School,Ei ASSET,"1,15,846","AcadAlly has reached out to four schools under the Priyadarshani Group. However, meetings scheduled with the management have repeatedly been cancelled, which is causing delays in further discussions and progress.",
43,3582467,Rawdat Al-Quran Al-Kareem,West,1-year School,Ei ASSET,"1,68,000",No response from school,
44,2450639,Shree Mumbadevi Vidya Mandir CISCE,West,New School,CARES,"1,21,188","There were challenges in ensuring timely paper delivery, primarily because the school did not share the syllabus portion within the required timeline. Additionally, frequent changes in questions from the school’s end led to multiple revisions, further impacting timelines.",
