School Type,School No,School Name,Dropped/Retained,Academic Year,SSF Date,Offering,School Revenue Type,SSF Number,Status,Total Order Value (Exclusive GST),Total Order Value (Inclusive GST),ASSET Revenue,ASSETStudents,ASSET rate,CARES Revenue,CARESStudents,CARES rate,Mindspark Revenue,MindsparkStudents,Mindspark rate,Teacher Training Revenue,Payment Mode,No Of Installments,Full Payment Date,First Installment Date,First Installment Amount,Second Installment Date,Second Installment Amount,Third Installment Date,Third Installment Amount,Fourth Installment Date,Fourth Installment Amount,TDS Amount,First payment Date,Latest payment Date,To be invoiced till date,Amount Received,Due till date as per payment schedule,Total Discount %,Standard Discount %,Pre Payment Discount %,Volume Discount %,Bundle Discount %,Loyalty Discount %,ASSETRound,Ei ASSET Mode,CAREStestpack,Ei CARES Version,Ei CARES Mode Of Printing,Ei CARES Mode,Ei Mindspark Mode,Board,City,State,Division,Zone,Vertical,Program Start Date,Program End Date,Order Type,ID,Zoho CRM Account ID,Deal ID,Created Date,Added User,Modified User,SSF Creator Email,SSF Creator,CRM Account Owner,CRM Acad Consultant,Logistic Approved Date,SSF Signing Perosn Name,SSF Signing Perosn Designation,SSF Signing Perosn Mail ID,SSF Signing Perosn Phone No,School CRM Email,Principal Name,Principal Email,Principal Phone No,Coordinator Name,Coordinator Email,Coordinator Phone No,School Fees,Billing Address Line 1,Billing Address Line 2,Billing Postal Code,Shipping Address Line 1,Shipping City,Shipping State,Shipping Postal Code,TAN NO,CRM Billing Street,CRM Shipping Street
1-year School,1002463,"Cambridge School, New Friends Colony",,2024,2024-04-30 00:00:00,Ei ASSET,Regular,IN-2022001979,Approved By Logistic Team,267000,267000,267000,356,750,0,0,,0,0,,0,Installments,2,,2024-05-07 00:00:00,80100,2024-11-07 00:00:00,186900,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,5340,2024-06-28 00:00:00,2025-01-21 00:00:00,267000,261659,1,0.5,0.5,,,,,Winter Round,OMR,0,MCQ,,,,CBSE,Delhi,Delhi,North,Delhi/Haryana,National Sales,2024-05-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022319092,51788000002746818,zcrm_51788000269056279,2024-04-30 00:00:00,puneet.khurana_ei,hakim.kanchwala_eiindia1,puneet.khurana@ei.study,Puneet khurana,Vaishali Yadav,,2024-05-13 09:06:54,Mrs. Sunandita Ganguly,Principal,sunandita.nfc@cambridgeschool.edu.in,+919711953984,mailus.nfc@cambridgeschool.edu.in,Mrs. Sunandita Ganguly,sunandita.nfc@cambridgeschool.edu.in,+919711953984,Ms Latika Mehra,latikam.nfc@cambridgeschool.edu.in,+919810606517,88500,"A - Block, A 96 New Friends Colony, ,Delhi,Delhi - 110065",,110065,"A - Block, A 96 New Friends Colony, ,Delhi,Delhi - 110065",Delhi,Delhi,110065,PNEK06448B,"A - Block, A 96 New Friends Colony, ,Delhi,Delhi - 110065","A - Block, A 96 New Friends Colony, ,Delhi,Delhi - 110065"
Retention School,1016619,St. Paul'S School,,2024,2024-06-25 00:00:00,Ei CARES,Regular,IN-2022002275,Approved By Logistic Team,1014560,1014560,0,0,,1014560,1166,870,0,0,,0,Installments,4,,2024-06-29 00:00:00,253640,2024-08-31 00:00:00,253640,2024-10-31 00:00:00,253640,2024-12-31 00:00:00,253640,101631,2024-07-22 00:00:00,2025-01-20 00:00:00,1014560,914669,-1740,0.5166,0.46659999999999996,,,,0.05,0,,2,MCQ,Printing By EI,OMR,,CISCE,Rourkela,Odisha,East,Odisha,National Sales,2024-06-24 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023176128,51788000002747044,zcrm_51788000270481001,2024-06-25 00:00:00,lopamudra.das_eiindia1,mitul.patel_ei1,lopamudra.das@ei.study,Lopamudra das,Lopamudra Das,,2024-07-01 10:19:15,Fr. Joseph Sarpira Sadam,Principal,stpaulrkl@gmail.com,+919437290604,stpaulrkl@gmail.com,,,,,,,0,"Hamirpur, Rourkela - 769003, Odisha, INDIA.",,769003,"Hamirpur, Rourkela - 769003, Odisha, INDIA.",Rourkela,Odisha,769003,BBNT00367D,"Hamirpur, Rourkela - 769003, Odisha, INDIA.","Hamirpur, Rourkela - 769003, Odisha, INDIA."
Retention School,1019428,"KLE KG & English Medium State School, Nipani",,2024,2024-06-16 00:00:00,"Ei ASSET, Ei Mindspark",Regular,"IN-2022002210, IN-2022002237",Approved By Logistic Team,674546,750348,253424,815,311,0,0,,421122,828,509,0,Installments,2,,2024-07-15 00:00:00,"126712, 248462","2024-11-15 00:00:00, 2024-12-15 00:00:00","126712, 248462",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"25408.7, 41542","2024-09-05 00:00:00, 2024-09-18 00:00:00",2025-01-17 00:00:00,"253424, 496924","228678.3, 448658","-663, 6724","0.7927, 0.8332999999999999","0.7927, 0.8332999999999999",,,,,"0, Winter Round",OMR,0,MCQ,,,Offline,State Board,Nipani,Karnataka,South,Karnataka/Kerala,National Sales,2024-06-01 00:00:00,"2025-04-30 00:00:00, 2025-05-31 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000023002408, 22028000023033488",51788000002747167,"zcrm_51788000270604012, zcrm_51788000270690656",2024-06-16 00:00:00,vineet.upadhye_ei,mitul.patel_ei1,vineet.upadhye@ei.study,Vineet upadhye,Nisha Murali,,"2024-06-18 10:41:02, 2024-06-18 10:43:54",Maruf Shaikh,,maruf.shaikh@ei.study,+919016039311,kleems@rediffmail.com,,,,,,,0,Old P.B road Nipani,,591237,Old P.B road Nipani,Nipani,Karnataka,591237,BLRK04875D,Old P.B road Nipani,Old P.B road Nipani
Retention School,1021816,The Doon Girls^ School,,2024,2024-04-01 00:00:00,"Ei ASSET,Ei CARES, Ei Mindspark",Regular,"IN-2022001799, IN-2022001800",Approved By Logistic Team,344761,371278,46902,79,594,150542,79,1906,147317,79,1865,0,Installments,4,,2024-04-15 00:00:00,"43459, 49361",2024-07-15 00:00:00,"43459, 49361",2024-10-15 00:00:00,"43459, 49361",2024-12-31 00:00:00,"43459, 49361",0,2024-09-13 00:00:00,"2024-09-13 00:00:00, 2024-12-26 00:00:00","173836, 197444","236917, 87395","-63081, 110049","0.6944, 0.7618","0.6944, 0.7618",,,,,"0, Summer Round",OMR,"0, 8","MCQ, MCQ + Subjective",,Online,Online,CISCE,Dehradun,Uttarakhand,North,UP/Uttarakhand,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000021869840, 22028000021869888",51788000002747187,"zcrm_51788000267771001, zcrm_51788000267801001",2024-04-01 00:00:00,anshul.nagpal_ei,sourabh.mehta_eiindia,anshul.nagpal@ei.study,Anshul nagpal,Tanya Marina Brooks,,"2024-04-04 17:12:47, 2024-04-04 17:12:52",Ms. Monisha Dutta,Principal,doongirlsschool@gmail.com,+919927683344,doongirlsschool@gmail.com,Ms. Monisha Dutta,doongirlsschool@gmail.com,+919927683344,Mr. Rohit Raj Singh,rrs@thedoongirlsschool.com,+919634483993,0,"4, Circular Road, Dalanwala,",,248001,"4, Circular Road, Dalanwala,",Dehradun,Uttarakhand,248001,,"4, Circular Road, Dalanwala,","4, Circular Road, Dalanwala,"
Retention School,10251,Sri Aurobindo International School,,2024,"2024-04-04 00:00:00, 2024-08-09 00:00:00",Ei CARES,Regular,"IN-2022001852, IN-2022001853, IN-2022002413",Approved By Logistic Team,904469,904469,0,0,,904469,729,"0, 1202, 2090",0,0,,0,Full Payment,,"2024-03-31 00:00:00, 2024-04-30 00:00:00",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"0, 4206, 84866",2024-05-07 00:00:00,2024-05-07 00:00:00,"0, 43264, 861205","0, 37856, 763797","0, 1202, 12542","0.5229, 0.5916, 1","0.4729, 0.5416, 1",0.05,,,,0,,"2, 6, 8",MCQ,,Online,,CISCE,Hyderabad,Telangana,South,AP/Telangana,National Sales,2024-06-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000021919812, 22028000021919844, 22028000024041572",51788000002728476,"zcrm_51788000267805111, zcrm_51788000267805248, zcrm_51788000272301001","2024-04-04 00:00:00, 2024-08-09 00:00:00",chaitanya.kolluri_ei,hakim.kanchwala_eiindia1,chaitanya.kolluri@ei.study,Chaitanya kolluri,Jasper Jessie,,"2024-04-22 14:51:39, 2024-04-22 14:51:44, 2024-08-10 12:50:42","Mr. Praveen, Mr. Praveen SAIS",Accounts,saishyd@gmail.com,+919849659075,,Ms. Vinjamur Jayashree,vinjamurjayashree@gmail.com,,Ms. Meena Murthy,gmlochani@gmail.com,+919866561332,0,"2-2-4/1 O U Road, Sri Aurobindo Marg,Vidyanagar,",,500044,"2-2-4/1 O U Road, Sri Aurobindo Marg,Vidyanagar,",Hyderabad,Telangana,500044,HYDI01894E,"Vidyanagar,","Vidyanagar,"
1-year School,1026343,"Mind Tree School, Ambala City",,2024,2024-06-28 00:00:00,Ei ASSET,Regular,IN-2022002289,Approved By Logistic Team,96600,96600,96600,161,600,0,0,,0,0,,0,Full Payment,,2024-08-05 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,5880,2024-08-27 00:00:00,2024-08-27 00:00:00,96600,52920,37800,0.6,0.6,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Ambala,Haryana,North,Delhi/Haryana,National Sales,2024-05-13 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023208508,51788000002747228,zcrm_51788000255130095,2024-06-28 00:00:00,gaurav.mehta_eiindia,sourabh.mehta_eiindia,gaurav.mehta@ei.study,Gaurav mehta,Bhavishya Bansal,,2024-07-01 13:00:38,Ms. Neelam Ohri,Principal,mindtree.ambala@gmail.com,+918685000121,mindtreeschool@gmail.com,,,,,,,48000,"Mind Tree School, Sector 1",,134011,"Mind Tree School, Sector 1",Ambala,Haryana,134011,,"Mind Tree School, Sector 1","Mind Tree School, Sector 1"
Retention School,10423,Shri Shikshayatan School,,2024,2024-03-08 00:00:00,Ei ASSET,Regular,IN-2022001599,Approved By Logistic Team,649545,649545,649545,1300,500,0,0,,0,0,,0,Installments,2,,2024-04-22 00:00:00,194864,2024-07-04 00:00:00,454682,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,9486,2024-06-25 00:00:00,2025-02-13 00:00:00,649546,620955,19105,0.6668999999999999,0.6668999999999999,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Kolkata,West Bengal,East,West Bengal,National Sales,2024-04-08 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000021440040,51788000002728478,zcrm_51788000266368106,2024-03-08 00:00:00,ratnabali.mukherjee_eiindia,mitul.patel_ei1,ratnabali.mukherjee@ei.study,Ratnabali mukherjee,Gargi Ghosh,,2024-04-24 14:37:25,Mrs. Sangeeta Tandon,Principal,principal@shrishikshayatanschool.com,+919831872819,principal@shrishikshayatanschool.com,Mrs. Sangeeta Tandon,principal@shrishikshayatanschool.com,+919831872819,Rupali,principal@shrishikshayatanschool.com,+918100376881,0,"11, Lord Sinha Road, Elgin,",,700071,"11, Lord Sinha Road, Elgin,",Kolkata,West Bengal,700071,CALS05598F,"11, Lord Sinha Road, Elgin,","11, Lord Sinha Road, Elgin,"
Retention School,104830,P.S. Senior Secondary School,,2024,2024-01-24 00:00:00,Ei CARES,Regular,IN-2022001422,Approved By Logistic Team,1609105,1609105,0,0,,1609105,1192,1350,0,0,,0,Installments,3,,2024-06-01 00:00:00,482732,2024-08-01 00:00:00,563187,2024-12-01 00:00:00,563187,2000-01-01 00:00:00,0,157940,2024-06-24 00:00:00,2024-12-17 00:00:00,1609106,1421466,29700,0.4808,0.4808,,,,,0,,4,MCQ,Printing By EI,OMR,,CBSE,Chennai,Tamil Nadu,South,Tamil Nadu,National Sales,2024-06-01 00:00:00,2025-04-30 00:00:00,Regular School: Active school with student count and rate per student defined,22028000020766924,51788000002731864,zcrm_51788000263929001,2024-01-24 00:00:00,nisha.murali_eiindia,hakim.kanchwala_eiindia1,nisha.murali@ei.study,Nisha murali,Vineeth T V,,2024-02-01 14:54:01,Mrs.Revathy Parameswaran,Principal,Pssrsec@gmail.com,+919444907456,pssrsec@gmail.com,Mrs.Revathy Parameswaran,Pssrsec@gmail.com,+919444907456,Shivakumar,prsivaku042@gmail.com,+919677100124,0,"33 Alarmelmangapuram, Mylapore, Chennai Â 600 004",,600004,"33 Alarmelmangapuram, Mylapore, Chennai Â 600 004",Chennai,Tamil Nadu,600004,CHEP02342E,"33 Alarmelmangapuram, Mylapore, Chennai Â 600 004","33 Alarmelmangapuram, Mylapore, Chennai Â 600 004"
New School,1061266,Ingraham Institute English School,Dropped,2024,2024-05-14 00:00:00,Ei CARES,Regular,IN-2022002053,Approved By Logistic Team,583833,583833,0,0,,583833,556,1050,0,0,,0,Installments,4,,2024-05-18 00:00:00,58383,2024-08-01 00:00:00,233533,2024-10-01 00:00:00,145958,2024-12-02 00:00:00,145958,61348,2024-06-21 00:00:00,2025-03-12 00:00:00,583832,552148,-29664,0.5227,0.5227,,,,,0,,2,MCQ + Subjective,Printing By EI,OMR,,CISCE,Ghaziabad,Uttar Pradesh,North,NCR,National Sales,2024-05-20 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022495488,51788000002747830,zcrm_51788000261218012,2024-05-14 00:00:00,puneet.khurana_ei,sourabh.mehta_eiindia,puneet.khurana@ei.study,Puneet khurana,Puneet Khurana,Vaishali Yadav,2024-05-16 14:47:22,Mrs. Arpana Ruth,Principal,arpana2@yahoo.com,+919971995516,ingrinst@gmail.com,Mrs. Arpana Ruth,arpana2@yahoo.com,+919971995516,,,,0,Hapur Road,,201001,Hapur Road,Ghaziabad,Uttar Pradesh,201001,,Hapur Road,Hapur Road
1-year School,108345,Manasarowar Pushkarini Vidyashrama,Dropped,2024,2024-03-27 00:00:00,Ei ASSET,Regular,IN-2022001755,Approved By Logistic Team,1282717,1282717,1282717,1166,1100,0,0,,0,0,,0,Installments,2,,2024-06-14 00:00:00,641359,2024-08-14 00:00:00,641359,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,68037,2024-08-01 00:00:00,2024-12-23 00:00:00,1282718,1196976,17705,0.2666,0.2666,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Mysore,Karnataka,South,Karnataka/Kerala,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000021773164,51788000002731894,zcrm_51788000266114662,2024-03-27 00:00:00,aji.thomas_eiindia,sourabh.mehta_eiindia,aji.thomas@ei.study,Aji thomas,Mohammadi Zohra,Mohammadi Zohra,2024-05-09 11:10:39,Mrs. HARSHIDA HARIKUMAR,Principal,harshida@pushkarinimys.com,+918971180000,mpvmysore@yahoo.com,Mrs. HARSHIDA HARIKUMAR,harshida@pushkarinimys.com,+918971180000,Hemalatha,latha7179@yahoo.in,+919886079179,4000,Vijayanagar 2Nd Stage Mysore Karnataka,,570017,Vijayanagar 2Nd Stage Mysore Karnataka,Mysore,Karnataka,570017,,Vijayanagar 2Nd Stage Mysore Karnataka,Vijayanagar 2Nd Stage Mysore Karnataka
