School Type,School No,School Name,Academic Year,SSF Date,Offering,School Revenue Type,SSF Number,Status,,OV-2026,Total Order Value (Exclusive GST),Total Order Value (Inclusive GST),ASSET Revenue,ASSETStudents,ASSET rate,CARES Revenue,CARESStudents,CARES rate,Mindspark Revenue,MindsparkStudents,Mindspark rate,Teacher Training Revenue,Payment Mode,No Of Installments,Full Payment Date,First Installment Date,First Installment Amount,Second Installment Date,Second Installment Amount,Third Installment Date,Third Installment Amount,Fourth Installment Date,Fourth Installment Amount,TDS Amount,First payment Date,Latest payment Date,To be invoiced till date,Amount Received,Due till date as per payment schedule,Total Discount %,Standard Discount %,Pre Payment Discount %,Volume Discount %,Bundle Discount %,Loyalty Discount %,ASSETRound,Ei ASSET Mode,CAREStestpack,Ei CARES Version,Ei CARES Mode Of Printing,Ei CARES Mode,Ei Mindspark Mode,Board,City,State,Division,Zone,Vertical,Program Start Date,Program End Date,Order Type,ID,Zoho CRM Account ID,Deal ID,Created Date,Added User,Modified User,SSF Creator Email,SSF Creator,CRM Account Owner,CRM Acad Consultant,Logistic Approved Date,SSF Signing Perosn Name,SSF Signing Perosn Designation,SSF Signing Perosn Mail ID,SSF Signing Perosn Phone No,School CRM Email,Principal Name,Principal Email,Principal Phone No,Coordinator Name,Coordinator Email,Coordinator Phone No,School Fees,Billing Address Line 1,Billing Address Line 2,Billing Postal Code,Shipping Address Line 1,Shipping City,Shipping State,Shipping Postal Code,TAN NO,CRM Billing Street,CRM Shipping Street
New School,1027451,Firayalal Public School,2026,2026-02-21 00:00:00,Ei Mindspark,Regular,IN-2022004386,Approved By Logistic Team,,#N/A,603021,711565,0,0,,0,0,,603021,593,1017,0,Installments,4,,2026-04-01 00:00:00,177891,2026-07-01 00:00:00,177891,2026-10-01 00:00:00,177891,2026-12-30 00:00:00,177891,0,2026-02-27 00:00:00,2026-02-27 00:00:00,0,30000,-30000,0.6667000000000001,0.6667000000000001,,,,,0,,0,MCQ,,,Online,CBSE,Ranchi,Jharkhand,East,Bihar/Jharkhand,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037452244,51788000002747236,zcrm_51788000261538033,2026-02-21 00:00:00,fayiez.ahmad_ei,mitul.patel_ei1,fayiez.ahmad@ei.study,Fayiez ahmad,Fayiez Ahmad,,2026-03-02 14:02:04,Haneet Kaur,Principal,viceprincipal@firayalalpublicschool.edu.in,+919334487466,info@firayalalpublicschool.com,Haneet Kaur,viceprincipal@firayalalpublicschool.edu.in,+919334487466,Doel Roy,doel.roy@firayalalpubicschool.edu.in,+919934700662,60000,Ranchi,,834001,"5, Mahatma Gandhi Main Rd, near Over Bridge, New Garden, Kanka, Ranchi, Jharkhand 834001",Ranchi,Jharkhand,834001,,5 Main Road Near Railway Bridge Ranchi Jharkhand,5 Main Road Near Railway Bridge Ranchi Jharkhand
New School,1091054,Sai Grace Academy International,2026,2025-12-10 00:00:00,Ei CARES,Regular,IN-2022004127,Approved By Logistic Team,,#N/A,311805,311805,0,0,,311805,260,1199,0,0,,0,Installments,4,,2025-12-10 00:00:00,77951,2026-06-30 00:00:00,77951,2026-09-30 00:00:00,77951,2026-12-31 00:00:00,77951,0,2026-01-28 00:00:00,2026-01-28 00:00:00,77951,40000,37951,0.385,0.385,,,,,0,,0,MCQ,Printing By EI,OMR,,CBSE,Dehradun,Uttarakhand,North,UP/Uttarakhand,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000035545252,51788000002748409,zcrm_51788000281119042,2025-12-10 00:00:00,prabhjit.singh_ei,fagun.saraiya_eiindia1,prabhjit.singh@ei.study,Prabhjit singh,Pooja Kapoor,Pooja Kapoor,2026-01-28 13:15:14,Mr. Samarjeet Singh,School Owner,info@saigraceacademy.com,+919997570003,info@saigraceacademy.com,Mr. Samarjeet Singh,info@saigraceacademy.com,+919997570003,Mr. Samarjeet Singh,info@saigraceacademy.com,+919997570003,56000,"Near Shiv Mandir, Raipur Rd, Raipur, Dehradun, Uttrakhand - 248001",,248001,"Near Shiv Mandir, Raipur Rd, Raipur, Dehradun, Uttrakhand - 248001",Dehradun,Uttarakhand,248001,,"Near Shiv Mandir, Raipur Rd, Raipur, Dehradun, Uttrakhand - 248001","Near Shiv Mandir, Raipur Rd, Raipur, Dehradun, Uttrakhand - 248001"
New School,1154314,"Baps Swaminarayan Vidyamandir,Silvassa",2026,2026-02-06 00:00:00,Ei ASSET,Regular,IN-2022004302,Approved By Logistic Team,,#N/A,435226,435226,435226,512,850,0,0,,0,0,,0,Installments,2,,2026-02-20 00:00:00,217613,2026-05-25 00:00:00,217613,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2026-02-12 00:00:00,2026-02-12 00:00:00,217613,217613,0,0.43329999999999996,0.43329999999999996,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Silvassa,Gujarat,West,Gujarat,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037088080,51788000002749623,zcrm_51788000281259988,2026-02-06 00:00:00,devansh.desai_ei,fagun.saraiya_eiindia1,devansh.desai@ei.study,Devansh desai,Devansh desai,,2026-02-13 16:59:32,Mrs. Riyanka Arzare,Principal,riya.arzare123@gmail.com,+919657575499,Svm.principal@gmail.com,Riyanka Arzare,riya.arzare123@gmail.com,+919657575499,Riyanka Arzare,riya.arzare123@gmail.com,+919657575499,50000,Village Athal,,396235,Village Athal,Silvassa,Gujarat,396235,,"Swaminarayan Cultural Complex, Village Athal, Naroli Road","Swaminarayan Cultural Complex, Village Athal, Naroli Road"
1-year School,119874,M P Birla Foundation Higher Secondary School,2026,2026-01-19 00:00:00,Ei Mindspark,Regular,IN-2022004236,Approved By Logistic Team,,360272,602572,711035,0,0,,0,0,,602572,474,1271,0,Installments,4,,2026-04-01 00:00:00,177759,2026-07-01 00:00:00,177759,2026-10-01 00:00:00,177759,2026-12-30 00:00:00,177759,0,,,0,0,0,0.75,0.75,,,,,0,,0,MCQ,,,Online,CISCE,Kolkata,West Bengal,East,West Bengal,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000036436964,51788000002732045,zcrm_51788000294344324,2026-01-19 00:00:00,soumodeep.ghosh_ei,mitul.patel_ei1,soumodeep.ghosh@ei.study,Soumodeep ghosh,Soumodeep Ghosh,,2026-02-02 11:01:21,Mr. S. K. Singh,Other,sk1111singh@gmail.com,+919831117111,mpbfhsschool@bsnl.in,Purnima Chatterjee,purnima.chatterji@gmail.com,+919903033965,Purnima Chatterjee,purnima.chatterji@gmail.com,+919903033965,79500,James Long Sarani,,700034,James Long Sarani,Kolkata,West Bengal,700034,CALM00354E,James Long Sarani,James Long Sarani
Retention School,1204891,"B.K Birla Public School, Kalyan",2026,2026-02-18 00:00:00,Ei ASSET,Regular,IN-2022004363,Approved By Logistic Team,,1939351,1550411,1550411,1550411,2215,700,0,0,,0,0,,0,Installments,4,,2026-06-30 00:00:00,387603,2026-09-30 00:00:00,387603,2026-12-31 00:00:00,387603,2026-12-31 00:00:00,387603,0,,,0,0,0,0.6315999999999999,0.6315999999999999,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Kalyan,Maharashtra,West,Mumbai,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037351152,51788000002750595,zcrm_51788000306973001,2026-02-18 00:00:00,saloni.shah_ei,fagun.saraiya_eiindia1,saloni.shah@ei.study,Saloni shah,Saloni Shah,,2026-02-25 19:33:07,Ms. Ranjna Jangra,Principal,principal@birlaschoolkalyan.com,+919372804429,contact@birlaschoolkalyan.com,Ms. Ranjana Jangra,principal@birlaschoolkalyan.com,+919372804429,Ms. Ranjana Jangra,principal@birlaschoolkalyan.com,+919372804429,0,"B K Birla College Road, Near Rto, Kalyan West,",,421304,,Kalyan,Maharashtra,421304,PNEK06448B,"B K Birla College Road, Near Rto, Kalyan West,","B K Birla College Road, Near Rto, Kalyan West,"
New School,1244461,JKG International School,2026,2025-12-13 00:00:00,Ei Mindspark,Regular,IN-2022004136,Approved By Logistic Team,,#N/A,464384,547973,0,0,,0,0,,464384,387,1200,0,Installments,4,,2025-12-15 00:00:00,136993,2026-07-01 00:00:00,136993,2026-10-01 00:00:00,136993,2026-12-01 00:00:00,136993,0,2025-12-17 00:00:00,2025-12-17 00:00:00,136993,136993,0,0.6067,0.6067,,,,,0,,0,MCQ,,,Online,CBSE,Ghaziabad,Uttar Pradesh,North,NCR,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000035655180,51788000002751273,zcrm_51788000302088940,2025-12-13 00:00:00,puneet.khurana_ei,fagun.saraiya_eiindia1,puneet.khurana@ei.study,Puneet khurana,Puneet Khurana,,2025-12-18 15:09:50,Mr. Varun Gaur,School Owner,varunjkg@gmail.com,+919958161212,jkginternational@ymail.com,Ms Nidhi Gaur,nidhijkg@gmail.com,+918826070001,Ms Nidhi Gaur,nidhijkg@gmail.com,+918826070001,11000,"Plot Number-13, J9W9+G9P JKG INTERNATIONAL SCHOOL, 14, Vijay Laxmi Pandit Marg, opposite Swarn Jayanti Park, Shakti Khand 2, Indirapuram, Ghaziabad, Uttar Pradesh 201014",,201014,"Plot Number-13, J9W9+G9P JKG INTERNATIONAL SCHOOL, 14, Vijay Laxmi Pandit Marg, opposite Swarn Jayanti Park, Shakti Khand 2, Indirapuram, Ghaziabad, Uttar Pradesh 201014",Ghaziabad,Uttar Pradesh,201014,,"Plot Number-13, J9W9+G9P JKG INTERNATIONAL SCHOOL, 14, Vijay Laxmi Pandit Marg, opposite Swarn Jayanti Park, Shakti Khand 2, Indirapuram, Ghaziabad, Uttar Pradesh 201014","Plot Number-13, J9W9+G9P JKG INTERNATIONAL SCHOOL, 14, Vijay Laxmi Pandit Marg, opposite Swarn Jayanti Park, Shakti Khand 2, Indirapuram, Ghaziabad, Uttar Pradesh 201014"
Key Account,128171,"Navrachana School, Sama",2026,2026-02-25 00:00:00,Ei ASSET,Regular,IN-2022004423,Approved By Logistic Team,,1652638,841950,841950,841950,1000,842,0,0,,0,0,,0,Installments,2,,2026-03-01 00:00:00,210488,2026-03-31 00:00:00,631463,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2026-03-05 00:00:00,2026-03-05 00:00:00,210488,210488,0,0.4387,0.3387,,0.05,,0.05,Summer Round,OMR,0,MCQ,,,,CBSE,Vadodara,Gujarat,West,Gujarat,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037493708,51788000002732079,zcrm_51788000307221117,2026-02-25 00:00:00,heena.kumar_ei,fagun.saraiya_eiindia1,heena.kumar@ei.study,Heena kumar,Heena Kumar,,2026-02-28 15:46:41,Mrs. Suprabha Menon,Principal,suprabham@navrachana.edu.in,+919925260895,navrachanasama@navrachana.edu.in,Mrs. Suprabha Menon,suprabham@navrachana.edu.in,+919925260895,Mrs. Suprabha Menon,suprabham@navrachana.edu.in,+919925260895,100300,"near GIPCL Circle, Raghuvir Nagar",,390024,"Sama Road,near GIPCL Circle,Vadodara, Gujarat",Vadodara,Gujarat,390024,BRDN01995A,Sama Road,"Sama Road, Near GIPCL Circle"
1-year School,1324784,Tulsi Public School,2026,2025-11-22 00:00:00,Ei CARES,Regular,IN-2022004092,Approved By Logistic Team,,49148,180024,180024,0,0,,180024,150,1200,0,0,,0,Installments,4,,2026-05-31 00:00:00,45006,2026-07-30 00:00:00,45006,2026-10-30 00:00:00,45006,2026-12-31 00:00:00,45006,0,,,0,0,0,0.5384,0.5384,,,,,0,,4,MCQ + Subjective,Printing By EI,OMR,,CBSE,Ambala,Haryana,North,Delhi/Haryana,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000034996060,51788000002752834,zcrm_51788000299704641,2025-11-22 00:00:00,himani.singla_ei1,fagun.saraiya_eiindia1,himani.singla@ei.study,Himani singla,Himani Singla,Himanshi Yadav,2025-11-22 16:35:57,Mrs. Anuradha Jindal,Principal,tps@tpsambala.com,+919354469828,tpsambala@gmail.com,Mrs. Anuradha Jindal,tps@tpsambala.com,+919354469828,Mrs. Anuradha Jindal,tps@tpsambala.com,+919354469828,29000,"Hissar Road, Jhansa Tangori Road",,134008,Hisar Road,Ambala,Haryana,134008,,"Hissar Road, Jhansa Tangori Road","Hissar Road, Jhansa Tangori Road"
Retention School,1524162,SAI International School,2026,"2026-02-09 00:00:00, 2026-02-10 00:00:00","Ei ASSET, Ei Mindspark",Regular,"IN-2022004308, IN-2022004321",Approved By Logistic Team,,1750677,1551114,1595171,1306354,2090,625,0,0,,244760,330,742,0,"Full Payment, Installments",4,2026-06-25 00:00:00,"2000-01-01 00:00:00, 2026-04-20 00:00:00","0, 72204","2000-01-01 00:00:00, 2026-07-20 00:00:00","0, 72204","2000-01-01 00:00:00, 2026-10-20 00:00:00","0, 72204","2000-01-01 00:00:00, 2026-12-31 00:00:00","0, 72204",0,,,0,0,0,"0.5832999999999999, 0.7569","0.5832999999999999, 0.7569",,,,,"0, Summer Round",OMR,0,MCQ,,,Online,CBSE,Bhubaneswar,Odisha,East,Odisha,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000037096880, 22028000037110712",51788000002756667,"zcrm_51788000306364354, zcrm_51788000306450001","2026-02-09 00:00:00, 2026-02-10 00:00:00",rana.singh_ei,mitul.patel_ei1,rana.singh@ei.study,Rana singh,Lopamudra Das,,"2026-02-24 17:20:17, 2026-02-24 17:20:38",Mr. Dipak Somani,Admin,dipak@sai.edu.in,+918598097405,info@saiinternationalschool.com,Nilakantha Panigrahi,srprincipal@saiinternational.org,+918598097404,"Prakash Sahoo, Rashmi Pandey","principalprimary@saiinternational.edu.in, principalsecondary@saiinternational.edu.in","+919040000820, +919910573303",0,"SECUREWAYS LOGISTICS PRIVATE LIMITED (STUDENT GALLERY) Plot No : N / 33 & 34, Chandka Industrial Estate, Near OTV office,",,751024,"SAI INTERNATIONAL SCHOOL,PLOT NO-5A, Chandaka I.E, INFOCITY ROAD, PATIA,",Bhubaneswar,Odisha,751024,BBNS09089D,"SECUREWAYS LOGISTICS PRIVATE LIMITED (STUDENT GALLERY) Plot No : N / 33 & 34, Chandka Industrial Estate, Near OTV office, Bhubaneswar - 751024, Odisha","SAI INTERNATIONAL SCHOOL,PLOT NO-5A, Chandaka I.E, INFOCITY ROAD, PATIA, BHUBANESWAR, Odisha, 751024"
New School,1556044,St. Karen's Montessori School,2026,2026-02-17 00:00:00,Ei ASSET,Regular,IN-2022004355,Approved By Logistic Team,,#N/A,233067,233067,233067,333,700,0,0,,0,0,,0,Installments,4,,2026-05-30 00:00:00,58267,2026-06-30 00:00:00,58267,2026-10-31 00:00:00,58267,2026-12-31 00:00:00,58267,0,2026-03-10 00:00:00,2026-03-10 00:00:00,0,18000,-18000,0.5334,0.5334,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Patna,Bihar,East,Bihar/Jharkhand,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037343100,51788000002757280,zcrm_51788000305951076,2026-02-17 00:00:00,ajit.ojha_eiindia,mitul.patel_ei1,ajit.ojha@ei.study,Ajit ojha,Ajit Ojha,,2026-03-11 14:18:28,L.B. Galstaun,Principal,stkarensmontessorischools@gmail.com,+919631105730,E.galstaun@gmail.com,Mrs. L.B. Galstaun,stkarensmontessorischools@gmail.com,+919631105730,Mrs. L.B. Galstaun,stkarensmontessorischools@gmail.com,+919631105730,28000,Bailey Road,,800014,Bailey Road,Patna,Bihar,800014,,Patna,Patna
