School No.,School Name,Products,Drop Category,Reasons
1616619,Vedavalli Vidyalaya Senior Secondary School,Ei CARES,Dropped,Financial Reasons/School is moving to traditional assessments
2104860,Vedavalli Vidyalaya,Ei CARES,Dropped,Financial Reasons/School is moving to traditional assessments
3780526,Morning Bells Academy Shayamnagar,"Ei CARES, Ei Mindspark",Dropped,The school could not make the teachers adapt to the program.Teachers felt it as a burden
1155119,Kerala Public School_ Burmamines,Ei CARES,Dropped,There was an expectation mismatch regarding the reports.School expected physical reports
1155556,Nml Kerala Public School,Ei CARES,Dropped,There was an expectation mismatch regarding the reports.School expected physical reports
1553466,ODM Sapphire Global School,Ei CARES,Dropped,Internal Reasons not disclosed
3567542,Keystone International School,Ei ASSET,Dropped,Internal Reasons
3992841,Hind Zinc Vidyalaya,Ei CARES,Dropped,Parents objected on paying for CARES
5017017,ODM Global School,Ei CARES,Dropped,Internal Reasons not disclosed
5017812,"IEM Public School, Newtown Kolkata","Ei ASSET, Ei CARES, Ei Mindspark",Partially Dropped,Partial drop of Mindspark and ASSET. The management wants the teachers to feel the value of Mindspark
3591328,IEM Public School,"Ei ASSET, Ei CARES, Ei Mindspark",Partially Dropped,Partial drop of Mindspark and ASSET. The management wants the teachers to feel the value of Mindspark
5018668,RSK International,Ei CARES/Ei Mindspark,Partially Dropped,Partial drop of CARES. Expected more hand holding.
4165785,Don Bosco School Kalyani,Ei CARES,Dropped,Dropped after 1 cycle.Didn't like the questions
3443832,The Wisdom Tree School,Ei Mindspark,Dropped,Infrastructure challenge. The school didn't have enough computers in the school to allocate periods for Mindspark which resulted in low usage. The HM was also not in favor.
3301477,The Tons Bridge,Ei CARES,Dropped,"Principal(new)shared concerns that teachers are currently unable to effectively translate the product features, tools, and benefits into classroom practice."
1482482,Pathania Public School,Ei CARES,Dropped,The school was not able to work on remediation and the teachers didn't take the program seriously. Hence they are taking a break to work on the plan internally and convince teachers about the need of a third party.No problem with the product and service. The director was happy with both.  assessment. 
5039845,Chandigarh Baptist School,"Ei ASSET, Ei Mindspark",Dropped,The school has mailed for termination but not giving a meeting
5037382,"SBS Model High School, Hoshiarpur",Ei CARES,Dropped,Budget Cuts in the school
