School No,School Name,Status,Products 2025,Products 2026,Dropped Products
1002463,"Cambridge School, New Friends Colony",Dropped,ASSET,None,ASSET
1011788,Vivekanand School,Dropped,ASSET,None,ASSET
1016619,St. Paul'S School,Dropped,CARES,None,CARES
1019428,"KLE KG & English Medium State School, Nipani",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
1021816,The Doon Girls^ School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
10251,Sri Aurobindo International School,Dropped,CARES,None,CARES
1026343,"Mind Tree School, Ambala City",Dropped,ASSET,None,ASSET
1035545,Doon Valley Public School,Dropped,CARES,None,CARES
1035646,Swadhyay Bhavan School,Dropped,CARES,None,CARES
10423,Shri Shikshayatan School,Dropped,ASSET,None,ASSET
104830,P.S. Senior Secondary School,Dropped,CARES,None,CARES
1110834,Mother's International Academy,Dropped,CARES,None,CARES
1114832,Spring Wood Senior Secondary School,Dropped,CARES,None,CARES
1131322,The Global Edge School,Dropped,ASSET,None,ASSET
1155119,Kerala Public School_ Burmamines,Dropped,CARES,None,CARES
1155556,Nml Kerala Public School,Dropped,CARES,None,CARES
1163014,Vidya Devi Jindal School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
1173541,"La Montessori School, Dhalpur",Dropped,CARES,None,CARES
119874,M P Birla Foundation Higher Secondary School,Dropped,Mindspark,None,Mindspark
1204891,"B.K Birla Public School, Kalyan",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
12539,Mahadevi Birla World Academy (Junior Wing),Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
1271232,Rishikul Vidyapeeth School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
128171,"Navrachana School, Sama",Dropped,CARES,None,CARES
1312595,"KLE M. R. Sakhare State School, Hubballi",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
1315210,"KLE School, Manjunath Nagar, Hubballi",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
1316481,"KLE School, Gadag",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
1324480,The Century School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
1324784,Tulsi Public School,Dropped,CARES,None,CARES
1330320,"KLE Mahadevappanna Munavalli School, Gokak",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
1337248,The Sivakasi Lions Matriculation Higher Secondary School,Dropped,Mindspark,None,Mindspark
1338674,Inspiration Sr Sec School,Dropped,CARES,None,CARES
1424516,"JSS Public School, HSR Layout",Dropped,ASSET,None,ASSET
1429114,Subbiah Central School,Dropped,CARES,None,CARES
1482482,Pathania Public School,Dropped,CARES,None,CARES
1512812,Kamla Nehru Higher Secondary School,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
1524162,SAI International School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
153271,Seth M. R. Jaipuria School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
1551815,The Shishukunj International School,Dropped,"ASSET, CARES",None,"ASSET, CARES"
1553466,ODM Sapphire Global School,Dropped,CARES,None,CARES
1558722,Alma Mater School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
1581683,Fazlani L'Academie Globale,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
158773,St Joseph^s Boys High School,Dropped,ASSET,None,ASSET
159527,"St. Mary's School (ICSE), Mazagaon",Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
1616619,Vedavalli Vidyalaya Senior Secondary School,Dropped,CARES,None,CARES
1644219,ASPAM Scottish School,Dropped,Mindspark,None,Mindspark
1649456,Shri Kanwartara Senior Secondary School,Dropped,CARES,None,CARES
165035,"The Scindia School, Fort",Dropped,Mindspark,None,Mindspark
1650530,"Paramount Academy, Kasrawad",Dropped,CARES,None,CARES
168210,Vivekananda Mission School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
169040,Young Horizons School,Dropped,CARES,None,CARES
17080,EDUADVAITA (C/O KAMALANIKETAN MONTESSORI SCHOOL),Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
1720050,S H N V Matriculation School,Dropped,Mindspark,None,Mindspark
172149,"Presidency School, R.T. Nagar",Dropped,ASSET,None,ASSET
1722766,Harvest Public School,Dropped,CARES,None,CARES
173767,Modern High School For Girls,Dropped,Mindspark,None,Mindspark
174867,Vidya Mandir Senior Secondary School,Dropped,ASSET,None,ASSET
1752,S N Kansagra School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
175250,The TVS School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
177663,St. James^ School,Dropped,ASSET,None,ASSET
1797713,Virudhunagar T S M Manickamnadar Janakiamamal Higher Secondary School,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
1805376,"KLE English Medium School, Solapur",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
181976,St. Paul's Academy,Dropped,CARES,None,CARES
1822220,Kasiga School,Dropped,ASSET,None,ASSET
1823562,Roopnagar Public School,Dropped,Mindspark,None,Mindspark
1837151,Shri Rama Bharti Public School - Sainik Nagar,Dropped,"ASSET, CARES",None,"ASSET, CARES"
18460,Abhinav Bharati High School,Dropped,Mindspark,None,Mindspark
185694,"Presidency School, Nandini Layout",Dropped,ASSET,None,ASSET
185882,J S S Public School,Dropped,ASSET,None,ASSET
1873384,G G International School,Dropped,ASSET,None,ASSET
1879439,Christel House India,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
1881318,Gyan Jyoti Awasiya Vidyalaya,Dropped,Mindspark,None,Mindspark
188264,Sir Sivaswami Kalalaya Senior Secondary School,Dropped,ASSET,None,ASSET
18922,Sri Kumaran Children's Home - CBSE,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
19028,"Delhi Public School, R.K. Puram",Dropped,ASSET,None,ASSET
19282,Sri Kumaran Children^s Home,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
1933,"Anand Niketan, Shilaj",Dropped,CARES,None,CARES
1940242,Vivekananda Mission School,Dropped,Mindspark,None,Mindspark
19872,"Padma Seshadri Bala Bhavan Senior Secondary School, K.K.Nagar",Dropped,ASSET,None,ASSET
19966,"Padma Seshadri Bala Bhavan Senior Secondary School, Nungambakkam",Dropped,ASSET,None,ASSET
2009619,Happy Days School,Dropped,CARES,None,CARES
201355,East Point School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
20191,Sishya School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
202033,Vivekananda Educational Centre,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
20238,The Daly College,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
2037085,Satya Prakash Public School,Dropped,CARES,None,CARES
203718,"Presidency School, Mangalore",Dropped,ASSET,None,ASSET
20480,Queens College,Dropped,CARES,None,CARES
2053321,Kaanger Valley Academy,Dropped,ASSET,None,ASSET
205449,The Riverside School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
2057359,N. H. Goel World School,Dropped,CARES,None,CARES
20577,Ahmedabad International School,Dropped,Mindspark,None,Mindspark
2066385,Sanghamitra High School,Dropped,CARES,None,CARES
207093,Advanced Academy,Dropped,CARES,None,CARES
207682,Asian Christian High School,Dropped,ASSET,None,ASSET
207818,Chettinad Vidya Mandir,Dropped,ASSET,None,ASSET
209833,Nalanda International School,Dropped,CARES,None,CARES
2104860,Vedavalli Vidyalaya,Dropped,CARES,None,CARES
210666,Lakshmi School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
212432,"Delhi Public School, Dwarka",Dropped,ASSET,None,ASSET
214620,"Delhi Public School, Ruby Park",Dropped,ASSET,None,ASSET
214868,"Loreto Convent, Shillong",Dropped,ASSET,None,ASSET
2171347,Learning Paths School,Dropped,CARES,None,CARES
218537,Delhi Public School,Dropped,ASSET,None,ASSET
226552,"The Shri Ram School, Vasant Vihar",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
2282758,Guru Kripa Divine Grace Public School,Dropped,"ASSET, CARES",None,"ASSET, CARES"
2285293,Anand Niketan International,Dropped,ASSET,None,ASSET
2291851,"Asia English School, Secondary - Higher Secondary Section",Dropped,CARES,None,CARES
22983,New Era Senior Secondary School,Dropped,CARES,None,CARES
23246,"Carmel High School, Basaveshwarnagar",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
234775,"Delhi Public School, Faridabad",Dropped,ASSET,None,ASSET
236318,Mayo College,Dropped,ASSET,None,ASSET
2378636,"Delhi Public School, N T P C, Farakka",Dropped,CARES,None,CARES
2379270,"KLE School, Nagarbhavi, Bengaluru",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
2379583,"Presidency School, Bangalore East",Dropped,ASSET,None,ASSET
2382287,Sri Venkateshwar International School,Dropped,ASSET,None,ASSET
2385289,South City International School,Dropped,Mindspark,None,Mindspark
2388998,The Cathedral & John Connon School - Junior Section,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
2389545,Vidya Mandir Estancia,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
2400949,"Dayawati Modi Academy , Pallavpuram Meerut",Dropped,CARES,None,CARES
2408882,"Bal Bharti School, Bahadurgarh",Dropped,ASSET,None,ASSET
2409420,"Vidyagyan School, Sikandrabad",Dropped,ASSET,None,ASSET
241346,Army Public School,Dropped,Mindspark,None,Mindspark
24299,The East - West School,Dropped,ASSET,None,ASSET
24374,Jeevana school,Dropped,Mindspark,None,Mindspark
2448365,"Sandipani Academy, Mandleshwar",Dropped,CARES,None,CARES
2449,"Delhi Public School, Mathura Road",Dropped,ASSET,None,ASSET
2450639,Shree Mumbadevi Vidya Mandir CISCE,Dropped,CARES,None,CARES
2451376,Lakshmi Matriculation Higher Secondary School,Dropped,ASSET,None,ASSET
2456473,N.E.T. Public School - ICSE,Dropped,ASSET,None,ASSET
2457713,Prudence International School,Dropped,CARES,None,CARES
2458794,"Cambridge International School, Kullu",Dropped,CARES,None,CARES
2459310,Sri Aham Aathma Vidyalaya,Dropped,Mindspark,None,Mindspark
2470230,The Samhita Academy,Dropped,Mindspark,None,Mindspark
2470596,R J Mantra English School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
2470921,Zydus School for Excellence - Godhavi,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
2472169,BVM Global Bollineni Hillside Senior Secondary School,Dropped,ASSET,None,ASSET
2472480,Apple Global School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
2473015,Sunbeam Suncity (School & Hostel),Dropped,Mindspark,None,Mindspark
2473458,Mahatma Montessori School CBSE,Dropped,ASSET,None,ASSET
2475745,Candor International School,Dropped,Mindspark,None,Mindspark
2476940,BVM Global @ Perungudi,Dropped,ASSET,None,ASSET
249296,Kokilaben Dhirubhai Ambani Reliance Foundation School,Dropped,ASSET,None,ASSET
