City,Total Schools,Only ASSET,Only Mindspark,Only CARES,2 Products,All Products
Ahmedabad,18,5,3,3,5,1
Ajmer,1,1,0,0,0,0
Ambala,3,2,0,1,0,0
Ankleshwar,1,0,0,0,1,0
Ara,1,0,1,0,0,0
Ariyalur,3,0,2,0,1,0
Arsikere,1,0,0,1,0,0
Asansol,1,1,0,0,0,0
Ashoknagar,1,0,0,1,0,0
Athani,1,0,0,0,1,0
Bagod,1,0,0,1,0,0
Bahadurgarh,2,0,0,0,2,0
Bahraich,1,0,0,0,1,0
Balangir,1,0,0,1,0,0
Bangalore,13,6,2,1,1,3
Bankura,1,1,0,0,0,0
Barasat,1,0,1,0,0,0
Bardoli,1,0,0,1,0,0
Barh,1,0,0,1,0,0
Barnala,1,0,1,0,0,0
Beed,1,0,1,0,0,0
Belgaum,3,0,0,0,3,0
Bengaluru,51,16,5,6,18,6
Bethesda,2,0,0,0,0,2
Bhangrotu,1,0,0,1,0,0
Bhawanipatna,1,0,0,1,0,0
Bhilai,1,0,0,1,0,0
Bhilwara,1,1,0,0,0,0
Bhopal,4,0,1,1,2,0
Bhubaneswar,4,0,0,1,3,0
Bijni,1,0,0,1,0,0
Bokaro,1,0,0,0,1,0
Bulandshahr,1,1,0,0,0,0
Chandannagar,1,0,0,1,0,0
Chandigarh,4,1,0,1,2,0
Chandrapur,1,0,1,0,0,0
Chennai,22,10,1,5,6,0
Chhindwara,1,0,0,1,0,0
Chikodi,1,0,0,0,1,0
Coimbatore,4,2,1,0,1,0
Cuttack,1,0,0,0,1,0
Dehradun,5,3,0,1,0,1
Delhi,10,6,0,1,3,0
Deoghar,2,0,0,1,0,1
Dhanbad,2,0,2,0,0,0
Dhar,1,0,0,1,0,0
Dharwad,1,0,0,0,1,0
Dhule,1,1,0,0,0,0
Dibrugarh,1,0,0,1,0,0
Dimapur,1,0,0,0,1,0
Diphu,1,0,0,1,0,0
Etawah,1,0,0,1,0,0
Faridabad,6,5,0,0,1,0
"Firozabad, Jaipur",1,0,0,0,0,1
Gadag,1,0,0,0,1,0
Gandhinagar,2,0,0,0,2,0
Gangtok,1,0,0,1,0,0
Gaya,1,0,0,0,0,1
Ghaziabad,11,2,1,5,1,2
Gobichettipalayam,1,0,1,0,0,0
Gokak,1,0,0,0,1,0
Gondal,1,0,0,0,1,0
Greater Noida,10,3,2,1,3,1
Gurgaon,1,0,0,1,0,0
Gurugram,12,9,0,0,3,0
Guwahati,2,1,0,0,1,0
Gwalior,1,0,1,0,0,0
Haldia,3,0,1,0,2,0
Haldwani,1,0,0,1,0,0
Hamirpur,3,0,0,3,0,0
Haveri,1,0,0,0,1,0
Hisar,1,0,0,0,1,0
Hoshiarpur,1,0,0,1,0,0
Hosur,3,1,0,0,0,2
Hubli,4,0,0,1,3,0
Hyderabad,29,13,3,4,7,2
Indore,8,0,1,4,3,0
Jabalpur,1,0,0,1,0,0
Jagdalpur,1,1,0,0,0,0
Jaipur,4,1,0,1,1,1
Jaisalmer,1,0,1,0,0,0
Jajpur Road,1,0,0,1,0,0
Jamnagar,4,1,1,1,1,0
Jamshedpur,2,0,0,2,0,0
Jhajjar,1,1,0,0,0,0
Jhalawar,1,0,1,0,0,0
Jharsuguda,1,0,0,1,0,0
Jodhpur,2,1,0,0,1,0
Kalimpong,2,0,0,2,0,0
Kalna,1,0,0,1,0,0
Kalol,1,0,0,1,0,0
Kalyan,2,1,0,0,1,0
Kalyani,1,0,0,1,0,0
Kanpur,1,0,0,1,0,0
Karhi,1,0,0,1,0,0
Karnal,2,0,0,0,2,0
Karur,1,1,0,0,0,0
Kathgodam,1,0,0,1,0,0
Katwa,2,0,0,2,0,0
Keonjhar,2,0,0,1,0,1
Khammam,3,0,1,2,0,0
Kharagpur,1,0,0,0,1,0
Kharar,1,1,0,0,0,0
Khargaon,1,0,0,1,0,0
"Khariar Road,Dist Nuapada",1,0,0,1,0,0
Kharsawan,1,0,0,0,1,0
Khorda,1,0,0,1,0,0
Kohima,2,0,0,1,0,1
Kokrajhar,1,0,1,0,0,0
Kolhapur,1,0,0,1,0,0
Kolkata,28,5,9,4,4,6
Koraput,1,0,0,1,0,0
Korba,1,1,0,0,0,0
Kosamba,1,0,0,1,0,0
Kota,1,1,0,0,0,0
Kothakota,1,0,0,1,0,0
Kullu,5,0,0,5,0,0
Kumbakonam,1,0,1,0,0,0
Kurnool,1,1,0,0,0,0
Kurseong,3,0,0,3,0,0
Labpur,1,0,0,1,0,0
Lucknow,2,1,0,0,0,1
Ludhiana,1,1,0,0,0,0
Madurai,15,6,4,1,3,1
"Makum Road, Tinsukia",1,0,1,0,0,0
Malerkotla,1,0,1,0,0,0
Mandal Wanaparthy District,2,0,0,2,0,0
Mandleshwar,2,0,0,2,0,0
Mandsaur,3,0,0,1,2,0
Mangalore,1,1,0,0,0,0
Margao,1,1,0,0,0,0
Meerut,1,0,0,1,0,0
Millitary Area,1,0,1,0,0,0
Mohali,2,1,0,1,0,0
Moradabad,1,0,0,0,1,0
Morvi,1,0,0,1,0,0
Mumbai,31,15,1,6,7,2
Nabarun,1,0,0,1,0,0
Nagpur,4,4,0,0,0,0
"Nagpur,",1,1,0,0,0,0
Nalagarh,1,0,0,1,0,0
Namakkal,1,0,0,1,0,0
Naraingarh,1,1,0,0,0,0
Nashik,3,1,0,0,2,0
Navi Mumbai,3,3,0,0,0,0
Nazira,1,0,1,0,0,0
Neemuch,1,0,0,1,0,0
New Delhi,11,8,1,0,2,0
Nipani,2,0,0,0,2,0
Noida,17,14,1,0,0,2
Palakkad District,1,0,0,0,1,0
Palampur,1,0,0,1,0,0
Panchkula,3,0,0,0,2,1
Pathankot,1,0,0,1,0,0
Patiala,1,0,0,1,0,0
Patna,4,0,0,4,0,0
Perambalur,1,0,0,0,1,0
Pilani,1,0,1,0,0,0
Pimpri Chinchwad,1,1,0,0,0,0
Pinjore,1,0,0,1,0,0
Pune,21,16,1,3,1,0
Purba Medinipur,1,0,0,0,1,0
Raigad,1,1,0,0,0,0
Raipur,3,2,0,1,0,0
Rajkot,19,3,9,0,6,1
Rajpura,1,0,1,0,0,0
Rampurhat,1,0,0,0,1,0
Ranchi,3,0,0,3,0,0
Ranebennur,1,0,0,1,0,0
Ranipet,1,0,0,1,0,0
Rayagada,1,0,0,1,0,0
Rewa,1,0,0,1,0,0
Rohtak,1,0,0,1,0,0
Rourkela,1,0,0,1,0,0
Rudrapur,1,0,0,1,0,0
Sakti,1,0,1,0,0,0
Salasi,1,0,0,1,0,0
Salem,2,0,2,0,0,0
Sanawar,1,1,0,0,0,0
Sangamner,1,0,0,0,0,1
Santipur,1,0,0,1,0,0
"Sec 31, Tehsil Sohna, Gurgaon,",1,1,0,0,0,0
Shajapur,1,0,1,0,0,0
Shillong,1,1,0,0,0,0
Shirpur,1,1,0,0,0,0
Shivpuri,2,0,0,2,0,0
Shujalpur,1,0,0,1,0,0
Shyamnagar,1,0,0,0,1,0
Sibsagar,1,0,0,0,0,1
Sikandrabad,1,1,0,0,0,0
Siliguri,1,0,0,0,1,0
Sitapur,1,1,0,0,0,0
Sivakasi,2,0,2,0,0,0
Solapur,1,0,0,0,1,0
Sonepat,1,0,0,0,0,1
South 24 Paraganas,1,0,0,0,1,0
Sri Potti Sriramulu Nellore District,1,0,0,0,1,0
Sundargarh,1,0,0,1,0,0
Surat,4,2,2,0,0,0
Tanuku,1,0,1,0,0,0
Thanjavur,3,0,2,1,0,0
Thuraiyur,1,0,0,0,1,0
Tiruchirappalli,2,2,0,0,0,0
Tiruppur,1,0,1,0,0,0
Tirupur,2,1,0,1,0,0
Trichy,4,0,1,1,2,0
Tumkur,1,0,0,1,0,0
Tura,2,0,0,1,1,0
Udaipur,1,1,0,0,0,0
Vadodara,9,0,0,6,1,2
Valsad,1,0,0,1,0,0
Varanasi,4,0,4,0,0,0
Vasco,1,1,0,0,0,0
Vellore,1,1,0,0,0,0
Veraval,1,0,0,1,0,0
Vijaywada,1,0,0,1,0,0
