School No,School Name,City,Category,Offering
5018506,AADHAV PUBLIC SCHOOL,Perambalur,2 Products,"Ei CARES, Ei Mindspark"
5018350,Akash International School (Managed by Vedant Group of Schools),Jamnagar,2 Products,"Ei ASSET,Ei Mindspark"
3534332,Akshar Arbol International School,Chennai,2 Products,"Ei ASSET, Ei Mindspark"
3557796,Akshar Arbol International School,Chennai,2 Products,"Ei ASSET, Ei Mindspark"
1558722,Alma Mater School,Jodhpur,2 Products,"Ei ASSET, Ei Mindspark"
5051627,Anubhav School,Ahmedabad,2 Products,"Ei ASSET,Ei Mindspark"
4041890,"Apeejay School, Bhubaneswar",Bhubaneswar,2 Products,"Ei ASSET, Ei ASSET,Ei Mindspark, Ei Mindspark"
5018035,"Apeejay School, Haldia",Haldia,2 Products,"Ei ASSET, Ei Mindspark"
251230,"Apeejay School, Salt Lake Branch",Kolkata,2 Products,"Ei ASSET, Ei ASSET,Ei Mindspark, Ei Mindspark"
255648,Apeejay School- Parkstreet,Kolkata,2 Products,"Ei ASSET, Ei ASSET,Ei Mindspark, Ei Mindspark"
3990168,Apex Academy,Purba Medinipur,2 Products,"Ei ASSET, Ei CARES"
1204891,"B.K Birla Public School, Kalyan",Kalyan,2 Products,"Ei ASSET, Ei Mindspark"
5014914,BAPS Swaminarayan Vidyamandir Girls Residential School,Gandhinagar,2 Products,"Ei ASSET, Ei Mindspark"
3705528,Canary The School,Hyderabad,2 Products,"Ei ASSET, Ei CARES"
23246,"Carmel High School, Basaveshwarnagar",Bengaluru,2 Products,"Ei ASSET, Ei Mindspark"
347614,Chanderbala Modi Academy,Ankleshwar,2 Products,"Ei CARES, Ei Mindspark"
5039845,Chandigarh Baptist Senior Secondary School,Chandigarh,2 Products,"Ei ASSET, Ei Mindspark"
1879439,Christel House India,Bengaluru,2 Products,"Ei ASSET, Ei Mindspark"
3286324,Deens Academy - Gunjur,Bengaluru,2 Products,"Ei ASSET,Ei Mindspark"
650967,Deens Academy -Whitefield,Bengaluru,2 Products,"Ei ASSET,Ei Mindspark"
700517,Disari Public School,Haldia,2 Products,"Ei CARES, Ei Mindspark"
3368257,Discoveri Oaks School,Hyderabad,2 Products,"Ei ASSET,Ei CARES"
5017080,Discoveri Oaks School (CBSE),Hyderabad,2 Products,"Ei ASSET,Ei CARES"
4156961,Disha India Community School,Karnal,2 Products,"Ei ASSET, Ei Mindspark"
308823,Doon Public School,Panchkula,2 Products,"Ei ASSET, Ei CARES"
17080,EDUADVAITA (C/O KAMALANIKETAN MONTESSORI SCHOOL),Trichy,2 Products,"Ei CARES,Ei Mindspark"
201355,East Point School,Delhi,2 Products,"Ei ASSET, Ei Mindspark"
1581683,Fazlani L'Academie Globale,Mumbai,2 Products,"Ei CARES, Ei Mindspark"
3693693,GEAR Innovative International School Neuron,Bengaluru,2 Products,"Ei ASSET,Ei Mindspark"
3745576,Gangotri International School,Gondal,2 Products,"Ei ASSET, Ei Mindspark"
3106413,Gems Genesis International School,Ahmedabad,2 Products,"Ei ASSET, Ei Mindspark"
3168781,Global City International School,Bengaluru,2 Products,"Ei ASSET, Ei Mindspark"
2562124,Gopal^s Garden High School,Mumbai,2 Products,"Ei ASSET, Ei Mindspark"
420525,Greenwood High (An International School),Bengaluru,2 Products,"Ei ASSET, Ei Mindspark"
3394135,Greenwood High Bannerghatta,Bengaluru,2 Products,"Ei ASSET,Ei Mindspark"
3565966,Griffins International School,Kharagpur,2 Products,"Ei ASSET,Ei CARES"
2282758,Guru Kripa Divine Grace Public School,Bahraich,2 Products,"Ei ASSET, Ei CARES"
5018499,Gurukul Global School,Chandigarh,2 Products,"Ei ASSET, Ei CARES"
440751,Hollotoli School,Dimapur,2 Products,"Ei CARES, Ei Mindspark"
3155272,IIRA International School,Vadodara,2 Products,"Ei CARES,Ei Mindspark"
562911,"JM International School, Dwarka",Delhi,2 Products,"Ei ASSET, Ei Mindspark"
3249655,Jamnabai Narsee School,Gandhinagar,2 Products,"Ei ASSET,Ei CARES"
6334,Jamnabai Narsee School,Mumbai,2 Products,"Ei ASSET, Ei CARES"
27245,Jasudben School,Mumbai,2 Products,"Ei ASSET, Ei Mindspark"
5014840,K.S.N. SENIOR SECONDARY SCHOOL,Chennai,2 Products,"Ei ASSET, Ei CARES"
5017918,KAMALANIKETAN MONTESSORI SCHOOL,Trichy,2 Products,"Ei CARES,Ei Mindspark"
3347570,"KLE Basavaprabhu Kore CBSE School, Ankali",Chikodi,2 Products,"Ei ASSET, Ei Mindspark"
3370385,"KLE C.B. Ranamode School, Athani",Athani,2 Products,"Ei ASSET, Ei Mindspark"
2509774,"KLE English Medium CBSE School, Nipani",Nipani,2 Products,"Ei ASSET, Ei Mindspark"
1805376,"KLE English Medium School, Solapur",Solapur,2 Products,"Ei ASSET, Ei Mindspark"
632896,"KLE International School, Belagavi",Belgaum,2 Products,"Ei ASSET, Ei Mindspark"
771752,"KLE International School, Rajajinagar, Bengaluru",Bengaluru,2 Products,"Ei ASSET, Ei Mindspark"
1019428,"KLE KG & English Medium State School, Nipani",Nipani,2 Products,"Ei ASSET, Ei Mindspark"
3399635,"KLE M. R. Sakhare CBSE School, Hubballi",Hubli,2 Products,"Ei ASSET, Ei Mindspark"
1312595,"KLE M. R. Sakhare State School, Hubballi",Hubli,2 Products,"Ei ASSET, Ei Mindspark"
1330320,"KLE Mahadevappanna Munavalli School, Gokak",Gokak,2 Products,"Ei ASSET, Ei Mindspark"
3347647,"KLE School, Dharwad",Dharwad,2 Products,"Ei ASSET, Ei Mindspark"
1316481,"KLE School, Gadag",Gadag,2 Products,"Ei ASSET, Ei Mindspark"
3347753,"KLE School, Haveri",Haveri,2 Products,"Ei ASSET, Ei Mindspark"
3837686,"KLE School, Lingaraj Campus, Belagavi",Belgaum,2 Products,"Ei ASSET, Ei Mindspark"
1315210,"KLE School, Manjunath Nagar, Hubballi",Hubli,2 Products,"Ei ASSET, Ei Mindspark"
2379270,"KLE School, Nagarbhavi, Bengaluru",Bengaluru,2 Products,"Ei ASSET, Ei Mindspark"
3347883,"KLE School, Saundatti",Belgaum,2 Products,"Ei ASSET, Ei Mindspark"
3886024,KLE Society^s Basava Residential Girls School - Kengeri,Bengaluru,2 Products,"Ei ASSET, Ei Mindspark"
1512812,Kamla Nehru Higher Secondary School,Bhopal,2 Products,"Ei CARES, Ei Mindspark"
3994892,Kavyapta Global School,Kharsawan,2 Products,"Ei ASSET,Ei Mindspark"
5017739,Khaitan World School,Ghaziabad,2 Products,"Ei ASSET, Ei Mindspark"
3896752,Krishna English Medium School,Rajkot,2 Products,"Ei ASSET, Ei Mindspark"
210666,Lakshmi School,Madurai,2 Products,"Ei ASSET, Ei ASSET,Ei Mindspark"
